Day,Paikka,Rata_nro,arvo1,arvo2,arvo3,Voitto,Luku,V_summa 
1/4/2020,1,14,"0,00","0,00","0,00", ,0,
1/4/2020,1,15,"0,00","0,00","0,00", ,0,
1/4/2020,1,16,"0,00","0,00","0,00", ,0,
1/4/2020,1,1,"0,00","0,00","0,00", ,0,
1/4/2020,1,2,"0,04","0,22","0,19", ,2,
1/4/2020,1,3,"0,08","0,22","0,20", ,5,
1/4/2020,1,4,"0,53","0,47","0,66", ,11,
1/4/2020,1,5,"0,12","0,13","0,31", ,6,
1/4/2020,1,6,"0,10","0,09","0,18", ,1,
1/4/2020,1,7,"0,00","0,00","0,00", ,0,
1/4/2020,1,8,"0,13","0,17","0,19", ,3,
1/4/2020,1,9,"0,23","0,11","0,35",1,8,
1/4/2020,1,10,"0,00","0,00","0,00", ,0,
1/4/2020,1,11,"0,00","0,00","0,00", ,0,
1/4/2020,1,12,"0,10","0,13","0,14", ,3,
1/4/2020,1,13,"0,00","0,00","0,00", ,0,
1/4/2020,1,14,"0,00","0,00","0,00", ,0,
1/4/2020,1,15,"0,00","0,00","0,00", ,0,
1/4/2020,1,16,"0,00","0,00","0,00", ,0,
1/4/2020,1,1,"0,10","0,51","0,62", ,4,
1/4/2020,1,2,"0,05","0,22","0,31", ,3,
1/4/2020,1,3,"0,09","0,22","0,27", ,3,
1/4/2020,1,4,"0,20","0,07","0,21",1,7,
1/4/2020,1,5,"0,00","0,11","0,14", ,0,
1/4/2020,1,6,"0,20","0,14","0,27", ,9,
1/4/2020,1,7,"0,00","0,16","0,36", ,0,
1/4/2020,1,8,"0,14","0,12","0,24", ,3,
1/4/2020,1,9,"0,09","0,11","0,23", ,1,
1/4/2020,1,10,"0,00","0,14","0,35", ,0,
1/4/2020,1,11,"0,00","0,00","0,00", ,0,
1/4/2020,1,12,"0,00","0,13","0,14", ,0,
1/4/2020,1,13,"0,00","0,14","0,21", ,0,
1/4/2020,1,14,"0,00","0,00","0,00", ,0,
1/4/2020,1,15,"0,00","0,00","0,00", ,0,
1/4/2020,1,16,"0,00","0,00","0,00", ,0,
1/4/2020,1,1,"0,04","0,13","0,19", ,2,
1/4/2020,1,2,"0,10","0,22","0,38", ,8,
1/4/2020,1,3,"0,47","0,60","0,65", ,11,
1/4/2020,1,4,"0,00","0,00","0,00", ,0,
1/4/2020,1,5,"0,47","0,61","0,69", ,11,
1/4/2020,1,6,"0,21","0,14","0,39", ,8,
1/4/2020,1,7,"0,00","0,00","0,00", ,0,
1/4/2020,1,8,"0,52","0,34","0,64",1,11,
1/4/2020,1,9,"0,00","0,00","0,00", ,0,
1/4/2020,1,10,"0,14","0,09","0,35", ,6,
1/4/2020,1,11,"0,08","0,08","0,14", ,1,
1/4/2020,1,12,"0,00","0,00","0,00", ,0,
1/4/2020,1,13,"0,00","0,00","0,00", ,0,
1/4/2020,1,14,"0,00","0,00","0,00", ,0,
1/4/2020,1,15,"0,00","0,00","0,00", ,0,
1/4/2020,1,16,"0,00","0,00","0,00", ,0,
1/4/2020,1,1,"0,00","0,00","0,00", ,0,
1/4/2020,1,2,"0,00","0,00","0,00", ,0,
1/4/2020,1,3,"0,00","0,00","0,00", ,0,
1/4/2020,1,4,"0,00","0,00","0,00", ,0,
1/4/2020,1,5,"0,00","0,00","0,00", ,0,
1/4/2020,1,6,"0,00","0,00","0,00", ,0,
1/4/2020,1,7,"0,00","0,00","0,00", ,0,
1/4/2020,1,8,"0,00","0,00","0,00", ,0,
1/4/2020,1,9,"0,00","0,00","0,00", ,0,
1/4/2020,1,10,"0,00","0,00","0,00", ,0,
1/4/2020,1,11,"0,00","0,00","0,00", ,0,
1/4/2020,1,12,"0,00","0,00","0,00", ,0,
1/4/2020,1,13,"0,00","0,00","0,00", ,0,
1/4/2020,1,14,"0,00","0,00","0,00", ,0,
1/4/2020,1,15,"0,00","0,00","0,00", ,0,
1/4/2020,1,16,"0,00","0,00","0,00", ,0,"78,95"
1/8/2020,1,1,"0,03","0,16","0,14", ,1,
1/8/2020,1,2,"0,14","0,22","0,36",1,7,
1/8/2020,1,3,"0,10","0,19","0,31", ,8,
1/8/2020,1,4,"0,12","0,07","0,30", ,1,
1/8/2020,1,5,"0,15","0,11","0,36", ,9,
1/8/2020,1,6,"0,53","0,44","0,74", ,11,
1/8/2020,1,7,"0,22","0,16","0,40", ,10,
1/8/2020,1,8,"0,09","0,04","0,21", ,2,
1/8/2020,1,9,"0,00","0,00","0,00", ,0,
1/8/2020,1,10,"0,00","0,00","0,00", ,0,
1/8/2020,1,11,"0,00","0,00","0,00", ,0,
1/8/2020,1,12,"0,00","0,00","0,00", ,0,
1/8/2020,1,13,"0,00","0,00","0,00", ,0,
1/8/2020,1,14,"0,00","0,00","0,00", ,0,
1/8/2020,1,15,"0,00","0,00","0,00", ,0,
1/8/2020,1,16,"0,00","0,00","0,00", ,0,
1/8/2020,1,1,"0,11","0,18","0,28", ,10,
1/8/2020,1,2,"0,12","0,22","0,33",1,8,
1/8/2020,1,3,"0,13","0,22","0,34", ,10,
1/8/2020,1,4,"0,12","0,14","0,23", ,2,
1/8/2020,1,5,"0,05","0,13","0,16", ,3,
1/8/2020,1,6,"0,10","0,09","0,18", ,1,
1/8/2020,1,7,"0,00","0,00","0,00", ,0,
1/8/2020,1,8,"0,09","0,04","0,20", ,2,
1/8/2020,1,9,"0,16","0,05","0,26", ,3,
1/8/2020,1,10,"0,11","0,11","0,24", ,3,
1/8/2020,1,11,"0,17","0,15","0,28", ,9,
1/8/2020,1,12,"0,08","0,03","0,17", ,1,
1/8/2020,1,13,"0,00","0,00","0,00", ,0,
1/8/2020,1,14,"0,00","0,00","0,00", ,0,
1/8/2020,1,15,"0,00","0,00","0,00", ,0,
1/8/2020,1,16,"0,00","0,00","0,00", ,0,
1/8/2020,1,1,"0,00","0,00","0,00", ,0,
1/8/2020,1,2,"0,44","0,49","0,77",1,11,
1/8/2020,1,3,"0,10","0,22","0,22", ,5,
1/8/2020,1,4,"0,12","0,07","0,22", ,1,
1/8/2020,1,5,"0,00","0,00","0,00", ,0,
1/8/2020,1,6,"0,11","0,09","0,20", ,2,
1/8/2020,1,7,"0,17","0,20","0,31", ,5,
1/8/2020,1,8,"0,00","0,00","0,00", ,0,
1/8/2020,1,9,"0,15","0,11","0,22", ,4,
1/8/2020,1,10,"0,12","0,11","0,27", ,3,
1/8/2020,1,11,"0,00","0,00","0,00", ,0,
1/8/2020,1,12,"0,10","0,08","0,23", ,4,
1/8/2020,1,13,"0,00","0,00","0,00", ,0,
1/8/2020,1,14,"0,00","0,00","0,00", ,0,
1/8/2020,1,15,"0,00","0,00","0,00", ,0,
1/8/2020,1,16,"0,00","0,00","0,00", ,0,
1/8/2020,1,1,"0,10","0,19","0,22", ,7,
1/8/2020,1,2,"0,04","0,22","0,20", ,2,
1/8/2020,1,3,"0,03","0,17","0,14", ,1,
1/8/2020,1,4,"0,22","0,25","0,38",1,9,
1/8/2020,1,5,"0,44","0,61","0,65", ,11,
1/8/2020,1,6,"0,11","0,09","0,19", ,2,
1/8/2020,1,7,"0,11","0,18","0,18", ,2,
1/8/2020,1,8,"0,00","0,00","0,00", ,0,
1/8/2020,1,9,"0,14","0,14","0,21", ,5,
1/8/2020,1,10,"0,10","0,09","0,17", ,1,
1/8/2020,1,11,"0,00","0,00","0,00", ,0,
1/8/2020,1,12,"0,09","0,13","0,26", ,3,
1/8/2020,1,13,"0,00","0,00","0,00", ,0,
1/8/2020,1,14,"0,00","0,00","0,00", ,0,
1/8/2020,1,15,"0,00","0,00","0,00", ,0,
1/8/2020,1,16,"0,00","0,00","0,00", ,0,
1/8/2020,1,1,"0,00","0,00","0,00", ,0,
1/8/2020,1,2,"0,00","0,00","0,00", ,0,
1/8/2020,1,3,"0,00","0,00","0,00", ,0,
1/8/2020,1,4,"0,00","0,00","0,00", ,0,
1/8/2020,1,5,"0,00","0,00","0,00", ,0,
1/8/2020,1,6,"0,00","0,00","0,00", ,0,
1/8/2020,1,7,"0,00","0,00","0,00", ,0,
1/8/2020,1,8,"0,00","0,00","0,00", ,0,
1/8/2020,1,9,"0,00","0,00","0,00", ,0,
1/8/2020,1,10,"0,00","0,00","0,00", ,0,
1/8/2020,1,11,"0,00","0,00","0,00", ,0,
1/8/2020,1,12,"0,00","0,00","0,00", ,0,
1/8/2020,1,13,"0,00","0,00","0,00", ,0,
1/8/2020,1,14,"0,00","0,00","0,00", ,0,
1/8/2020,1,15,"0,00","0,00","0,00", ,0,
1/8/2020,1,16,"0,00","0,00","0,00", ,0,"67,13"
1/15/2020,1,1,"0,45","0,52","0,64", ,11,
1/15/2020,1,2,"0,04","0,22","0,15", ,2,
1/15/2020,1,3,"0,00","0,00","0,00", ,0,
1/15/2020,1,4,"0,00","0,00","0,00", ,0,
1/15/2020,1,5,"0,13","0,11","0,23", ,2,
1/15/2020,1,6,"0,20","0,19","0,30", ,7,
1/15/2020,1,7,"0,10","0,10","0,18", ,1,
1/15/2020,1,8,"0,16","0,12","0,27", ,7,
1/15/2020,1,9,"0,14","0,05","0,20", ,3,
1/15/2020,1,10,"0,52","0,56","0,70", ,11,
1/15/2020,1,11,"0,00","0,00","0,00", ,0,
1/15/2020,1,12,"0,00","0,00","0,00", ,0,
1/15/2020,1,13,"0,00","0,00","0,00", ,0,
1/15/2020,1,14,"0,00","0,00","0,00", ,0,
1/15/2020,1,15,"0,00","0,00","0,00", ,0,
1/15/2020,1,16,"0,00","0,00","0,00", ,0,
1/15/2020,1,1,"0,00","0,00","0,00", ,0,
1/15/2020,1,2,"0,03","0,21","0,18", ,1,
1/15/2020,1,3,"0,12","0,22","0,29", ,7,
1/15/2020,1,4,"0,17","0,09","0,32", ,5,
1/15/2020,1,5,"0,00","0,00","0,00", ,0,
1/15/2020,1,6,"0,15","0,14","0,30", ,3,
1/15/2020,1,7,"0,00","0,00","0,00", ,0,
1/15/2020,1,8,"0,50","0,37","0,66",1,11,
1/15/2020,1,9,"0,23","0,11","0,29", ,6,
1/15/2020,1,10,"0,12","0,11","0,26", ,4,
1/15/2020,1,11,"0,08","0,08","0,14", ,1,
1/15/2020,1,12,"0,00","0,00","0,00", ,0,
1/15/2020,1,13,"0,00","0,00","0,00", ,0,
1/15/2020,1,14,"0,00","0,00","0,00", ,0,
1/15/2020,1,15,"0,00","0,00","0,00", ,0,
1/15/2020,1,16,"0,00","0,00","0,00", ,0,
1/15/2020,1,1,"0,15","0,24","0,32",1,9,
1/15/2020,1,2,"0,11","0,23","0,32", ,8,
1/15/2020,1,3,"0,07","0,22","0,22", ,6,
1/15/2020,1,4,"0,22","0,16","0,38", ,8,
1/15/2020,1,5,"0,55","0,61","0,77", ,11,
1/15/2020,1,6,"0,00","0,00","0,00", ,0,
1/15/2020,1,7,"0,17","0,20","0,30", ,5,
1/15/2020,1,8,"0,11","0,08","0,21", ,4,
1/15/2020,1,9,"0,09","0,11","0,16", ,2,
1/15/2020,1,10,"0,13","0,11","0,35", ,4,
1/15/2020,1,11,"0,00","0,00","0,00", ,0,
1/15/2020,1,12,"0,09","0,13","0,14", ,3,
1/15/2020,1,13,"0,00","0,00","0,00", ,0,
1/15/2020,1,14,"0,00","0,00","0,00", ,0,
1/15/2020,1,15,"0,00","0,00","0,00", ,0,
1/15/2020,1,16,"0,00","0,00","0,00", ,0,
1/15/2020,1,1,"0,03","0,16","0,19", ,1,
1/15/2020,1,2,"0,03","0,21","0,14", ,1,
1/15/2020,1,3,"0,00","0,00","0,00", ,0,
1/15/2020,1,4,"0,13","0,14","0,23", ,2,
1/15/2020,1,5,"0,00","0,00","0,00", ,0,
1/15/2020,1,6,"0,19","0,19","0,33", ,7,
1/15/2020,1,7,"0,00","0,00","0,00", ,0,
1/15/2020,1,8,"0,00","0,00","0,00", ,0,
1/15/2020,1,9,"0,11","0,14","0,22", ,5,
1/15/2020,1,10,"0,10","0,09","0,21", ,1,
1/15/2020,1,11,"0,00","0,00","0,00", ,0,
1/15/2020,1,12,"0,11","0,13","0,29", ,8,
1/15/2020,1,13,"0,06","0,01","0,08", ,3,
1/15/2020,1,14,"0,41","0,18","0,53", ,11,
1/15/2020,1,15,"0,40","0,67","0,56",1,11,
1/15/2020,1,16,"0,00","0,00","0,00", ,0,
1/15/2020,1,1,"0,00","0,00","0,00", ,0,
1/15/2020,1,2,"0,00","0,00","0,00", ,0,
1/15/2020,1,3,"0,00","0,00","0,00", ,0,
1/15/2020,1,4,"0,00","0,00","0,00", ,0,
1/15/2020,1,5,"0,00","0,00","0,00", ,0,
1/15/2020,1,6,"0,00","0,00","0,00", ,0,
1/15/2020,1,7,"0,00","0,00","0,00", ,0,
1/15/2020,1,8,"0,00","0,00","0,00", ,0,
1/15/2020,1,9,"0,00","0,00","0,00", ,0,
1/15/2020,1,10,"0,00","0,00","0,00", ,0,
1/15/2020,1,11,"0,00","0,00","0,00", ,0,
1/15/2020,1,12,"0,00","0,00","0,00", ,0,
1/15/2020,1,13,"0,00","0,00","0,00", ,0,
1/15/2020,1,14,"0,00","0,00","0,00", ,0,
1/15/2020,1,15,"0,00","0,00","0,00", ,0,
1/15/2020,1,16,"0,00","0,00","0,00", ,0,"15,37"
1/22/2020,1,1,"0,46","0,52","0,82", ,11,
1/22/2020,1,2,"0,00","0,00","0,00", ,0,
1/22/2020,1,3,"0,05","0,22","0,24", ,5,
1/22/2020,1,4,"0,12","0,14","0,27", ,2,
1/22/2020,1,5,"0,14","0,12","0,28", ,4,
1/22/2020,1,6,"0,53","0,44","0,98",1,11,
1/22/2020,1,7,"0,53","0,39","0,78", ,11,
1/22/2020,1,8,"0,10","0,16","0,19", ,3,
1/22/2020,1,9,"0,09","0,11","0,15", ,2,
1/22/2020,1,10,"0,00","0,00","0,00", ,0,
1/22/2020,1,11,"0,15","0,11","0,24", ,4,
1/22/2020,1,12,"0,00","0,00","0,00", ,0,
1/22/2020,1,13,"0,00","0,00","0,00", ,0,
1/22/2020,1,14,"0,00","0,00","0,00", ,0,
1/22/2020,1,15,"0,00","0,00","0,00", ,0,
1/22/2020,1,16,"0,00","0,00","0,00", ,0,
1/22/2020,1,1,"0,05","0,14","0,25", ,5,
1/22/2020,1,2,"0,07","0,21","0,39", ,6,
1/22/2020,1,3,"0,07","0,22","0,31",1,6,
1/22/2020,1,4,"0,12","0,07","0,26", ,1,
1/22/2020,1,5,"0,14","0,12","0,28", ,4,
1/22/2020,1,6,"0,00","0,00","0,00", ,0,
1/22/2020,1,7,"0,00","0,00","0,00", ,0,
1/22/2020,1,8,"0,10","0,16","0,33", ,3,
1/22/2020,1,9,"0,14","0,05","0,20", ,1,
1/22/2020,1,10,"0,00","0,00","0,00", ,0,
1/22/2020,1,11,"0,10","0,11","0,24", ,3,
1/22/2020,1,12,"0,00","0,00","0,00", ,0,
1/22/2020,1,13,"0,07","0,01","0,16", ,5,
1/22/2020,1,14,"0,00","0,00","0,00", ,0,
1/22/2020,1,15,"0,14","0,01","0,31", ,9,
1/22/2020,1,16,"0,46","0,50","0,90", ,11,
1/22/2020,1,1,"0,00","0,00","0,00", ,0,
1/22/2020,1,2,"0,14","0,23","0,34", ,7,
1/22/2020,1,3,"0,05","0,14","0,30", ,3,
1/22/2020,1,4,"0,22","0,16","0,45", ,8,
1/22/2020,1,5,"0,00","0,00","0,00", ,0,
1/22/2020,1,6,"0,11","0,09","0,31", ,2,
1/22/2020,1,7,"0,00","0,00","0,00", ,0,
1/22/2020,1,8,"0,19","0,12","0,63", ,10,
1/22/2020,1,9,"0,00","0,00","0,00", ,0,
1/22/2020,1,10,"0,15","0,14","0,36",1,10,
1/22/2020,1,11,"0,09","0,08","0,23", ,2,
1/22/2020,1,12,"0,00","0,00","0,00", ,0,
1/22/2020,1,13,"0,00","0,00","0,00", ,0,
1/22/2020,1,14,"0,00","0,00","0,00", ,0,
1/22/2020,1,15,"0,00","0,00","0,00", ,0,
1/22/2020,1,16,"0,00","0,00","0,00", ,0,
1/22/2020,1,1,"0,12","0,25","0,51",1,9,
1/22/2020,1,2,"0,06","0,21","0,30", ,4,
1/22/2020,1,3,"0,44","0,60","0,85", ,11,
1/22/2020,1,4,"0,12","0,07","0,31", ,1,
1/22/2020,1,5,"0,00","0,00","0,00", ,0,
1/22/2020,1,6,"0,15","0,14","0,32", ,3,
1/22/2020,1,7,"0,00","0,00","0,00", ,0,
1/22/2020,1,8,"0,00","0,00","0,00", ,0,
1/22/2020,1,9,"0,09","0,05","0,18", ,1,
1/22/2020,1,10,"0,10","0,09","0,24", ,1,
1/22/2020,1,11,"0,08","0,08","0,22", ,1,
1/22/2020,1,12,"0,07","0,03","0,16", ,1,
1/22/2020,1,13,"0,00","0,00","0,00", ,0,
1/22/2020,1,14,"0,00","0,00","0,00", ,0,
1/22/2020,1,15,"0,00","0,00","0,00", ,0,
1/22/2020,1,16,"0,00","0,00","0,00", ,0,
1/22/2020,1,1,"0,00","0,00","0,00", ,0,
1/22/2020,1,2,"0,00","0,00","0,00", ,0,
1/22/2020,1,3,"0,00","0,00","0,00", ,0,
1/22/2020,1,4,"0,00","0,00","0,00", ,0,
1/22/2020,1,5,"0,00","0,00","0,00", ,0,
1/22/2020,1,6,"0,00","0,00","0,00", ,0,
1/22/2020,1,7,"0,00","0,00","0,00", ,0,
1/22/2020,1,8,"0,00","0,00","0,00", ,0,
1/22/2020,1,9,"0,00","0,00","0,00", ,0,
1/22/2020,1,10,"0,00","0,00","0,00", ,0,
1/22/2020,1,11,"0,00","0,00","0,00", ,0,
1/22/2020,1,12,"0,00","0,00","0,00", ,0,
1/22/2020,1,13,"0,00","0,00","0,00", ,0,
1/22/2020,1,14,"0,00","0,00","0,00", ,0,
1/22/2020,1,15,"0,00","0,00","0,00", ,0,
1/22/2020,1,16,"0,00","0,00","0,00", ,0,"59,47"
2/5/2020,1,1,"0,05","0,18","0,25", ,3,
2/5/2020,1,2,"0,00","0,20","0,33", ,6,
2/5/2020,1,3,"0,08","0,22","0,44", ,9,
2/5/2020,1,4,"0,12","0,27","0,73",1,9,
2/5/2020,1,5,"0,53","0,00","0,00", ,0,
2/5/2020,1,6,"0,11","0,14","0,45", ,8,
2/5/2020,1,7,"0,10","0,00","0,00", ,0,
2/5/2020,1,8,"0,08","0,00","0,00", ,0,
2/5/2020,1,9,"0,24","0,00","0,00", ,0,
2/5/2020,1,10,"0,17","0,00","0,00", ,0,
2/5/2020,1,11,"0,00","0,46","0,91", ,11,
2/5/2020,1,12,"0,00","0,03","0,16", ,1,
2/5/2020,1,13,"0,04","0,00","0,00", ,0,
2/5/2020,1,14,"0,00","0,00","0,00", ,0,
2/5/2020,1,15,"0,00","0,00","0,00", ,0,
2/5/2020,1,16,"0,05","0,00","0,00", ,0,
2/5/2020,1,1,"0,03","0,16","0,14", ,1,
2/5/2020,1,2,"0,00","0,00","0,00", ,0,
2/5/2020,1,3,"0,08","0,22","0,31", ,5,
2/5/2020,1,4,"0,12","0,14","0,27", ,2,
2/5/2020,1,5,"0,53","0,61","0,99",1,11,
2/5/2020,1,6,"0,11","0,09","0,23", ,2,
2/5/2020,1,7,"0,10","0,10","0,21", ,1,
2/5/2020,1,8,"0,08","0,08","0,17", ,1,
2/5/2020,1,9,"0,24","0,14","0,53", ,9,
2/5/2020,1,10,"0,17","0,09","0,40", ,6,
2/5/2020,1,11,"0,00","0,00","0,00", ,0,
2/5/2020,1,12,"0,00","0,00","0,00", ,0,
2/5/2020,1,13,"0,04","0,01","0,10", ,1,
2/5/2020,1,14,"0,00","0,00","0,00", ,0,
2/5/2020,1,15,"0,00","0,00","0,00", ,0,
2/5/2020,1,16,"0,05","0,00","0,14", ,3,
2/5/2020,1,1,"0,11","0,24","0,31", ,6,
2/5/2020,1,2,"0,46","0,49","0,81", ,11,
2/5/2020,1,3,"0,06","0,23","0,41", ,4,
2/5/2020,1,4,"0,14","0,09","0,32", ,3,
2/5/2020,1,5,"0,12","0,11","0,26", ,2,
2/5/2020,1,6,"0,00","0,00","0,00", ,0,
2/5/2020,1,7,"0,22","0,14","0,54", ,9,
2/5/2020,1,8,"0,13","0,12","0,36", ,7,
2/5/2020,1,9,"0,17","0,14","0,43",1,8,
2/5/2020,1,10,"0,13","0,11","0,32", ,4,
2/5/2020,1,11,"0,00","0,00","0,00", ,0,
2/5/2020,1,12,"0,09","0,13","0,14", ,3,
2/5/2020,1,13,"0,00","0,00","0,00", ,0,
2/5/2020,1,14,"0,00","0,00","0,00", ,0,
2/5/2020,1,15,"0,00","0,00","0,00", ,0,
2/5/2020,1,16,"0,00","0,00","0,00", ,0,
2/5/2020,1,1,"0,00","0,00","0,00", ,0,
2/5/2020,1,2,"0,00","0,00","0,00", ,0,
2/5/2020,1,3,"0,09","0,23","0,23", ,4,
2/5/2020,1,4,"0,12","0,07","0,22", ,1,
2/5/2020,1,5,"0,00","0,00","0,00", ,0,
2/5/2020,1,6,"0,00","0,00","0,00", ,0,
2/5/2020,1,7,"0,13","0,12","0,39", ,4,
2/5/2020,1,8,"0,14","0,08","0,41", ,4,
2/5/2020,1,9,"0,09","0,11","0,19", ,2,
2/5/2020,1,10,"0,47","0,54","0,98",1,11,
2/5/2020,1,11,"0,11","0,14","0,46", ,5,
2/5/2020,1,12,"0,07","0,03","0,16", ,1,
2/5/2020,1,13,"0,00","0,00","0,00", ,0,
2/5/2020,1,14,"0,08","0,34","0,30", ,7,
2/5/2020,1,15,"0,00","0,00","0,00", ,0,
2/5/2020,1,16,"0,00","0,00","0,00", ,0,
2/5/2020,1,1,"0,00","0,00","0,00", ,0,
2/5/2020,1,2,"0,00","0,00","0,00", ,0,
2/5/2020,1,3,"0,00","0,00","0,00", ,0,
2/5/2020,1,4,"0,00","0,00","0,00", ,0,
2/5/2020,1,5,"0,00","0,00","0,00", ,0,
2/5/2020,1,6,"0,00","0,00","0,00", ,0,
2/5/2020,1,7,"0,00","0,00","0,00", ,0,
2/5/2020,1,8,"0,00","0,00","0,00", ,0,
2/5/2020,1,9,"0,00","0,00","0,00", ,0,
2/5/2020,1,10,"0,00","0,00","0,00", ,0,
2/5/2020,1,11,"0,00","0,00","0,00", ,0,
2/5/2020,1,12,"0,00","0,00","0,00", ,0,
2/5/2020,1,13,"0,00","0,00","0,00", ,0,
2/5/2020,1,14,"0,00","0,00","0,00", ,0,
